county_fips,year,total_cases,total_dafw,total_djtr
22045,2016,20.0,0.0,0.0
22045,2017,26.0,0.0,0.0
22045,2018,27.0,0.0,0.0
22045,2019,2.0,0.0,0.0
22045,2020,17.0,0.0,0.0
22045,2021,26.0,0.0,0.0
22045,2022,16.0,0.0,0.0
22045,2023,12.0,0.0,0.0
22047,2016,4.0,0.0,0.0
22047,2018,4.0,0.0,0.0
22047,2019,4.0,0.0,0.0
22047,2020,8.0,0.0,0.0
22047,2021,8.0,0.0,0.0
22047,2022,4.0,0.0,0.0
22051,2016,2.0,0.0,0.0
22051,2017,6.0,0.0,0.0
22051,2018,2.0,0.0,0.0
22051,2022,1.0,0.0,0.0
22051,2023,1.0,0.0,0.0
22053,2017,2.0,0.0,0.0
22053,2018,2.0,0.0,0.0
22053,2022,2.0,0.0,0.0
22053,2023,1.0,0.0,0.0
22055,2016,33.0,0.0,0.0
22055,2017,56.0,0.0,0.0
22055,2018,49.0,0.0,0.0
22055,2019,5.0,0.0,0.0
22055,2020,30.0,0.0,0.0
22055,2021,36.0,0.0,0.0
22055,2022,21.0,0.0,0.0
22055,2023,21.0,0.0,0.0
22057,2016,7.0,0.0,0.0
22057,2017,12.0,0.0,0.0
22057,2018,15.0,0.0,0.0
22057,2019,4.0,0.0,0.0
22057,2020,10.0,0.0,0.0
22057,2021,5.0,0.0,0.0
22057,2022,1.0,0.0,0.0
22057,2023,2.0,0.0,0.0
22059,2017,5.0,0.0,0.0
22059,2018,4.0,0.0,0.0
22059,2019,2.0,0.0,0.0
22059,2020,2.0,0.0,0.0
22059,2021,1.0,0.0,0.0
22069,2016,4.0,0.0,0.0
22069,2017,2.0,0.0,0.0
22069,2020,2.0,0.0,0.0
22069,2021,2.0,0.0,0.0
22071,2016,5.0,0.0,0.0
22071,2018,7.0,0.0,0.0
22071,2019,3.0,0.0,0.0
22071,2020,3.0,0.0,0.0
22071,2021,4.0,0.0,0.0
22071,2022,3.0,0.0,0.0
22071,2023,1.0,0.0,0.0
22073,2023,1.0,0.0,0.0
22075,2016,3.0,0.0,0.0
22077,2020,6.0,0.0,0.0
22077,2022,1.0,0.0,0.0
22081,2016,6.0,0.0,0.0
22081,2017,4.0,0.0,0.0
22081,2018,4.0,0.0,0.0
22081,2020,3.0,0.0,0.0
22081,2021,6.0,0.0,0.0
22081,2022,2.0,0.0,0.0
22081,2023,1.0,0.0,0.0
22085,2016,2.0,0.0,0.0
22085,2017,2.0,0.0,0.0
22085,2020,2.0,0.0,0.0
22085,2021,2.0,0.0,0.0
22089,2016,1.0,0.0,0.0
22089,2017,1.0,0.0,0.0
22089,2018,2.0,0.0,0.0
22095,2016,1.0,0.0,0.0
22095,2018,2.0,0.0,0.0
22095,2022,1.0,0.0,0.0
22095,2023,1.0,0.0,0.0
22097,2016,1.0,0.0,0.0
22097,2017,3.0,0.0,0.0
22097,2018,3.0,0.0,0.0
22097,2019,2.0,0.0,0.0
22097,2020,3.0,0.0,0.0
22097,2021,4.0,0.0,0.0
22097,2022,1.0,0.0,0.0
22097,2023,1.0,0.0,0.0
22099,2016,18.0,0.0,0.0
22099,2017,24.0,0.0,0.0
22099,2018,19.0,0.0,0.0
22099,2020,14.0,0.0,0.0
22099,2021,24.0,0.0,0.0
22099,2022,14.0,0.0,0.0
22099,2023,10.0,0.0,0.0
22101,2016,4.0,0.0,0.0
22101,2017,2.0,0.0,0.0
22101,2018,1.0,0.0,0.0
22101,2019,2.0,0.0,0.0
22101,2020,4.0,0.0,0.0
22101,2021,6.0,0.0,0.0
22101,2022,1.0,0.0,0.0
22101,2023,1.0,0.0,0.0
22103,2016,3.0,0.0,0.0
22103,2017,2.0,0.0,0.0
22103,2018,1.0,0.0,0.0
22103,2019,1.0,0.0,0.0
22103,2020,3.0,0.0,0.0
22103,2021,3.0,0.0,0.0
22103,2022,3.0,0.0,0.0
22103,2023,2.0,0.0,0.0
22105,2018,4.0,0.0,0.0
22105,2019,2.0,0.0,0.0
22105,2020,2.0,0.0,0.0
22105,2021,1.0,0.0,0.0
22105,2022,2.0,0.0,0.0
22109,2016,17.0,0.0,0.0
22109,2017,22.0,0.0,0.0
22109,2018,18.0,0.0,0.0
22109,2019,4.0,0.0,0.0
22109,2020,20.0,0.0,0.0
22109,2021,17.0,0.0,0.0
22109,2022,13.0,0.0,0.0
22109,2023,7.0,0.0,0.0
22113,2016,11.0,0.0,0.0
22113,2017,15.0,0.0,0.0
22113,2018,23.0,0.0,0.0
22113,2019,8.0,0.0,0.0
22113,2020,13.0,0.0,0.0
22113,2021,16.0,0.0,0.0
22113,2022,8.0,0.0,0.0
22113,2023,4.0,0.0,0.0
22119,2016,6.0,0.0,0.0
22119,2017,7.0,0.0,0.0
22119,2018,5.0,0.0,0.0
22119,2020,4.0,0.0,0.0
22119,2021,2.0,0.0,0.0
22121,2019,4.0,0.0,0.0
22121,2020,6.0,0.0,0.0
22121,2021,4.0,0.0,0.0
22127,2017,2.0,0.0,0.0
22127,2018,2.0,0.0,0.0
22127,2019,2.0,0.0,0.0
24041,2020,1.0,0.0,0.0
24041,2021,2.0,0.0,0.0
25017,2016,2.0,0.0,0.0
25017,2018,2.0,0.0,0.0
25017,2023,1.0,0.0,0.0
25019,2023,1.0,0.0,0.0
26005,2018,2.0,0.0,0.0
26015,2018,2.0,0.0,0.0
26023,2020,2.0,0.0,0.0
26023,2023,2.0,0.0,0.0
26025,2020,2.0,0.0,0.0
26025,2023,2.0,0.0,0.0
26035,2023,1.0,0.0,0.0
26057,2017,1.0,0.0,0.0
26059,2020,2.0,0.0,0.0
26059,2023,2.0,0.0,0.0
26073,2017,1.0,0.0,0.0
26075,2020,2.0,0.0,0.0
26075,2023,2.0,0.0,0.0
26079,2023,1.0,0.0,0.0
26081,2016,2.0,0.0,0.0
26081,2018,2.0,0.0,0.0
26113,2023,1.0,0.0,0.0
26125,2016,2.0,0.0,0.0
26125,2017,2.0,0.0,0.0
26137,2016,1.0,0.0,0.0
26137,2017,1.0,0.0,0.0
26139,2016,2.0,0.0,0.0
26145,2018,1.0,0.0,0.0
27003,2022,2.0,0.0,0.0
28023,2016,1.0,0.0,0.0
28023,2017,3.0,0.0,0.0
28023,2018,5.0,0.0,0.0
28023,2020,4.0,0.0,0.0
